Day 1 (Open),Day 2 (Open),Day 3 (Open),Day 4 (Open),Day 5 (Open),Day 1 (High),Day 2 (High),Day 3 (High),Day 4 (High),Day 5 (High),Day 1 (Low),Day 2 (Low),Day 3 (Low),Day 4 (Low),Day 5 (Low),Day 1 (Close),Day 2 (Close),Day 3 (Close),Day 4 (Close),Day 5 (Close),Day 1 (Volume),Day 2 (Volume),Day 3 (Volume),Day 4 (Volume),Day 5 (Volume),Day 6 (Open),Day 6 (High),Day 6 (Low),Day 6 (Volume),Day 6 (Close)
223.25,222.720001,224.25,226.610001,221.919998,225.100006,226.970001,232,228.300003,229.600006,220.800003,221.75,221.399994,224.860001,221.039993,223.539993,223.570007,224.820007,225.009995,228.919998,3245500,3087100,6514300,3382400,4927800,229.259995,231.399994,221.5,223.300003,7749100
222.720001,224.25,226.610001,221.919998,229.259995,226.970001,232,228.300003,229.600006,231.399994,221.75,221.399994,224.860001,221.039993,221.5,223.570007,224.820007,225.009995,228.919998,223.300003,3087100,6514300,3382400,4927800,7749100,226.089996,237.5,226,233.270004,11895800
224.25,226.610001,221.919998,229.259995,226.089996,232,228.300003,229.600006,231.399994,237.5,221.399994,224.860001,221.039993,221.5,226,224.820007,225.009995,228.919998,223.300003,233.270004,6514300,3382400,4927800,7749100,11895800,234.380005,240.5,233.270004,238.520004,5959700
226.610001,221.919998,229.259995,226.089996,234.380005,228.300003,229.600006,231.399994,237.5,240.5,224.860001,221.039993,221.5,226,233.270004,225.009995,228.919998,223.300003,233.270004,238.520004,3382400,4927800,7749100,11895800,5959700,237.470001,242.990005,235.690002,238.490005,5388600
221.919998,229.259995,226.089996,234.380005,237.470001,229.600006,231.399994,237.5,240.5,242.990005,221.039993,221.5,226,233.270004,235.690002,228.919998,223.300003,233.270004,238.520004,238.490005,4927800,7749100,11895800,5959700,5388600,238.899994,251.419998,238.580002,248.929993,9249300
229.259995,226.089996,234.380005,237.470001,238.899994,231.399994,237.5,240.5,242.990005,251.419998,221.5,226,233.270004,235.690002,238.580002,223.300003,233.270004,238.520004,238.490005,248.929993,7749100,11895800,5959700,5388600,9249300,250.119995,256.690002,249.119995,252.389999,7478900
226.089996,234.380005,237.470001,238.899994,250.119995,237.5,240.5,242.990005,251.419998,256.690002,226,233.270004,235.690002,238.580002,249.119995,233.270004,238.520004,238.490005,248.929993,252.389999,11895800,5959700,5388600,9249300,7478900,251.160004,251.759995,246.5,248.130005,5090100
234.380005,237.470001,238.899994,250.119995,251.160004,240.5,242.990005,251.419998,256.690002,251.759995,233.270004,235.690002,238.580002,249.119995,246.5,238.520004,238.490005,248.929993,252.389999,248.130005,5959700,5388600,9249300,7478900,5090100,255.479996,263.73999,255,259.320007,8101300
237.470001,238.899994,250.119995,251.160004,255.479996,242.990005,251.419998,256.690002,251.759995,263.73999,235.690002,238.580002,249.119995,246.5,255,238.490005,248.929993,252.389999,248.130005,259.320007,5388600,9249300,7478900,5090100,8101300,258.079987,260.299988,254.580002,259.959991,6382300
238.899994,250.119995,251.160004,255.479996,258.079987,251.419998,256.690002,251.759995,263.73999,260.299988,238.580002,249.119995,246.5,255,254.580002,248.929993,252.389999,248.130005,259.320007,259.959991,9249300,7478900,5090100,8101300,6382300,262.01001,265.640015,259.609985,260.309998,6932600
250.119995,251.160004,255.479996,258.079987,262.01001,256.690002,251.759995,263.73999,260.299988,265.640015,249.119995,246.5,255,254.580002,259.609985,252.389999,248.130005,259.320007,259.959991,260.309998,7478900,5090100,8101300,6382300,6932600,262.48999,263,256.5,261.380005,4126600
251.160004,255.479996,258.079987,262.01001,262.48999,251.759995,263.73999,260.299988,265.640015,263,246.5,255,254.580002,259.609985,256.5,248.130005,259.320007,259.959991,260.309998,261.380005,5090100,8101300,6382300,6932600,4126600,261.480011,262.089996,258.5,262.01001,3867900
255.479996,258.079987,262.01001,262.48999,261.480011,263.73999,260.299988,265.640015,263,262.089996,255,254.580002,259.609985,256.5,258.5,259.320007,259.959991,260.309998,261.380005,262.01001,8101300,6382300,6932600,4126600,3867900,263.25,267.26001,259.75,259.940002,5849200
258.079987,262.01001,262.48999,261.480011,263.25,260.299988,265.640015,263,262.089996,267.26001,254.580002,259.609985,256.5,258.5,259.75,259.959991,260.309998,261.380005,262.01001,259.940002,6382300,6932600,4126600,3867900,5849200,258.869995,259.329987,251.619995,256.76001,5334800
262.01001,262.48999,261.480011,263.25,258.869995,265.640015,263,262.089996,267.26001,259.329987,259.609985,256.5,258.5,259.75,251.619995,260.309998,261.380005,262.01001,259.940002,256.76001,6932600,4126600,3867900,5849200,5334800,254.669998,258.73999,253,255.710007,3027900
262.48999,261.480011,263.25,258.869995,254.669998,263,262.089996,267.26001,259.329987,258.73999,256.5,258.5,259.75,251.619995,253,261.380005,262.01001,259.940002,256.76001,255.710007,4126600,3867900,5849200,5334800,3027900,256.519989,258.799988,253.259995,254.339996,2915600
261.480011,263.25,258.869995,254.669998,256.519989,262.089996,267.26001,259.329987,258.73999,258.799988,258.5,259.75,251.619995,253,253.259995,262.01001,259.940002,256.76001,255.710007,254.339996,3867900,5849200,5334800,3027900,2915600,254.539993,256.950012,252.610001,256.779999,2833400
263.25,258.869995,254.669998,256.519989,254.539993,267.26001,259.329987,258.73999,258.799988,256.950012,259.75,251.619995,253,253.259995,252.610001,259.940002,256.76001,255.710007,254.339996,256.779999,5849200,5334800,3027900,2915600,2833400,258.190002,263.679993,258.190002,262.549988,4318100
258.869995,254.669998,256.519989,254.539993,258.190002,259.329987,258.73999,258.799988,256.950012,263.679993,251.619995,253,253.259995,252.610001,258.190002,256.76001,255.710007,254.339996,256.779999,262.549988,5334800,3027900,2915600,2833400,4318100,264.980011,265.5,261.660004,261.73999,3818000
254.669998,256.519989,254.539993,258.190002,264.980011,258.73999,258.799988,256.950012,263.679993,265.5,253,253.259995,252.610001,258.190002,261.660004,255.710007,254.339996,256.779999,262.549988,261.73999,3027900,2915600,2833400,4318100,3818000,263.5,264.23999,260.290009,263.25,2985100
256.519989,254.539993,258.190002,264.980011,263.5,258.799988,256.950012,263.679993,265.5,264.23999,253.259995,252.610001,258.190002,261.660004,260.290009,254.339996,256.779999,262.549988,261.73999,263.25,2915600,2833400,4318100,3818000,2985100,261.890015,264.480011,261.640015,263.859985,2844900
254.539993,258.190002,264.980011,263.5,261.890015,256.950012,263.679993,265.5,264.23999,264.480011,252.610001,258.190002,261.660004,260.290009,261.640015,256.779999,262.549988,261.73999,263.25,263.859985,2833400,4318100,3818000,2985100,2844900,268.700012,272,267.51001,269.700012,6447100
258.190002,264.980011,263.5,261.890015,268.700012,263.679993,265.5,264.23999,264.480011,272,258.190002,261.660004,260.290009,261.640015,267.51001,262.549988,261.73999,263.25,263.859985,269.700012,4318100,3818000,2985100,2844900,6447100,275.5,284.890015,274.299988,284.119995,9852400
264.980011,263.5,261.890015,268.700012,275.5,265.5,264.23999,264.480011,272,284.890015,261.660004,260.290009,261.640015,267.51001,274.299988,261.73999,263.25,263.859985,269.700012,284.119995,3818000,2985100,2844900,6447100,9852400,287.670013,288,280.100006,281.190002,6772300
263.5,261.890015,268.700012,275.5,287.670013,264.23999,264.480011,272,284.890015,288,260.290009,261.640015,267.51001,274.299988,280.100006,263.25,263.859985,269.700012,284.119995,281.190002,2985100,2844900,6447100,9852400,6772300,284.01001,291.420013,280.399994,286.040009,8341700
261.890015,268.700012,275.5,287.670013,284.01001,264.480011,272,284.890015,288,291.420013,261.640015,267.51001,274.299988,280.100006,280.399994,263.859985,269.700012,284.119995,281.190002,286.040009,2844900,6447100,9852400,6772300,8341700,282.549988,282.899994,272.51001,277.390015,11169900
268.700012,275.5,287.670013,284.01001,282.549988,272,284.890015,288,291.420013,282.899994,267.51001,274.299988,280.100006,280.399994,272.51001,269.700012,284.119995,281.190002,286.040009,277.390015,6447100,9852400,6772300,8341700,11169900,277.619995,284.880005,277.519989,282.109985,5501600
275.5,287.670013,284.01001,282.549988,277.619995,284.890015,288,291.420013,282.899994,284.880005,274.299988,280.100006,280.399994,272.51001,277.519989,284.119995,281.190002,286.040009,277.390015,282.109985,9852400,6772300,8341700,11169900,5501600,282.98999,285.48999,277,278.480011,4558800
