Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,19,25,17.540001,23.889999,23.889999,18766300
2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100
2010-07-01,25,25.92,20.27,21.959999,21.959999,8218800
2010-07-02,23,23.1,18.709999,19.200001,19.200001,5139800
2010-07-06,20,20,15.83,16.110001,16.110001,6866900
2010-07-07,16.4,16.629999,14.98,15.8,15.8,6921700
2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400
2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600
2010-07-12,17.950001,18.07,17,17.049999,17.049999,2202500
2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100
2010-07-14,17.940001,20.15,17.76,19.84,19.84,4195200
2010-07-15,19.940001,21.5,19,19.889999,19.889999,3739800
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300
2010-07-19,21.370001,22.25,20.92,21.91,21.91,2486500
2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300
2010-07-21,20.66,20.9,19.5,20.219999,20.219999,1252500
2010-07-22,20.5,21.25,20.370001,21,21,957800
2010-07-23,21.190001,21.559999,21.059999,21.290001,21.290001,653600
2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200
2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700
2010-07-28,20.549999,20.9,20.51,20.719999,20.719999,467200
2010-07-29,20.77,20.879999,20,20.35,20.35,616000
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900
2010-08-02,20.5,20.969999,20.33,20.92,20.92,718100
2010-08-03,21,21.950001,20.82,21.950001,21.950001,1230500
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200
2010-08-06,20.1,20.16,19.52,19.59,19.59,741900
2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700
2010-08-10,19.65,19.65,18.82,19.030001,19.030001,1281300
2010-08-11,18.690001,18.879999,17.85,17.9,17.9,797600
2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000
2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000
2010-08-16,18.450001,18.799999,18.26,18.780001,18.780001,485800
2010-08-17,18.959999,19.4,18.780001,19.15,19.15,447900
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300
2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100
2010-08-20,18.65,19.110001,18.51,19.1,19.1,296000
2010-08-23,19.09,20.389999,19,20.129999,20.129999,1088100
2010-08-24,19.25,19.709999,18.950001,19.200001,19.200001,673100
2010-08-25,19.16,19.98,18.559999,19.9,19.9,503300
2010-08-26,19.889999,20.27,19.6,19.75,19.75,433800
2010-08-27,19.75,19.870001,19.5,19.700001,19.700001,379600
2010-08-30,19.700001,20.190001,19.610001,19.870001,19.870001,732800
2010-08-31,19.66,19.790001,19.33,19.48,19.48,201100
2010-09-01,19.620001,20.690001,19.6,20.450001,20.450001,494900
2010-09-02,20.370001,21.24,20.309999,21.059999,21.059999,487100
2010-09-03,20.870001,21.299999,20.66,21.049999,21.049999,434600
2010-09-07,20.610001,21,20.5,20.540001,20.540001,243400
2010-09-08,20.66,20.950001,20.6,20.9,20.9,288400
2010-09-09,21,21.049999,20.690001,20.709999,20.709999,376200
2010-09-10,20.75,20.93,19.76,20.17,20.17,386600
2010-09-13,20.889999,20.9,20.5,20.719999,20.719999,360800
2010-09-14,20.540001,21.6,20.530001,21.120001,21.120001,654700
2010-09-15,20.98,22,20.790001,21.98,21.98,684600
2010-09-16,22.15,23.16,20.84,20.940001,20.940001,2684500
2010-09-17,21.02,21.32,19.799999,20.23,20.23,1198500
2010-09-20,20.67,21.35,20.16,21.059999,21.059999,947500
2010-09-21,20.889999,21.549999,20.67,20.77,20.77,796000
2010-09-22,20.870001,20.950001,19.799999,19.870001,19.870001,962900
2010-09-23,19.889999,20.139999,19.5,19.559999,19.559999,668100
2010-09-24,19.950001,20.190001,19.65,20.1,20.1,578900
2010-09-27,20.4,20.809999,20.049999,20.530001,20.530001,418600
2010-09-28,21.040001,21.49,20.76,21.4,21.4,1214500
2010-09-29,21.190001,22.030001,21.129999,21.98,21.98,1969300
2010-09-30,22,22.15,20.190001,20.41,20.41,2195800
2010-10-01,20.690001,20.75,20.309999,20.6,20.6,597700
2010-10-04,20.43,21.17,20.299999,20.99,20.99,643600
2010-10-05,21.15,21.280001,21.01,21.120001,21.120001,332000
2010-10-06,21.059999,21.26,20.32,20.459999,20.459999,313400
2010-10-07,20.57,20.639999,20.34,20.43,20.43,141000
2010-10-08,20.43,20.790001,20.389999,20.43,20.43,267800
2010-10-11,20.440001,20.700001,20.07,20.24,20.24,171200
2010-10-12,20.200001,20.280001,20.030001,20.24,20.24,244000
2010-10-13,20.639999,20.85,20.360001,20.540001,20.540001,318200
2010-10-14,21,21.030001,20.4,20.75,20.75,294800
2010-10-15,20.889999,20.9,20.25,20.540001,20.540001,284700
2010-10-18,20.52,20.639999,20.219999,20.23,20.23,162800
2010-10-19,20.200001,20.41,20,20.049999,20.049999,245200
2010-10-20,20.16,20.690001,20.040001,20.65,20.65,312500
2010-10-21,20.610001,20.950001,20.450001,20.75,20.75,417100
2010-10-22,20.68,20.93,20.549999,20.719999,20.719999,161100
2010-10-25,20.940001,20.98,20.73,20.85,20.85,118500
2010-10-26,20.799999,21.870001,20.51,21.360001,21.360001,660900
2010-10-27,21.25,21.379999,20.65,21,21,356500
2010-10-28,21.389999,21.5,20.959999,21.190001,21.190001,224200
2010-10-29,21.139999,21.85,21.049999,21.84,21.84,280600
2010-11-01,21.940001,22.75,21.309999,21.41,21.41,455800
2010-11-02,21.68,21.879999,21.049999,21.25,21.25,322500
2010-11-03,21.280001,22.5,21.16,21.77,21.77,372600
2010-11-04,22.6,25.33,22.15,24.9,24.9,1874000
2010-11-05,24.870001,24.969999,23.719999,24.440001,24.440001,1011000
2010-11-08,24.5,25,24.030001,24.98,24.98,509500
2010-11-09,25,25.690001,24.049999,24.629999,24.629999,956400
2010-11-10,24.48,29.969999,24.049999,29.360001,29.360001,3060500
2010-11-11,28.6,29.1,27.33,28.040001,28.040001,1945300
2010-11-12,28.25,30.5,28.07,29.84,29.84,2729100
2010-11-15,30.219999,32.939999,30.219999,30.799999,30.799999,2622900
2010-11-16,31,31.4,28.42,29.67,29.67,1347600
2010-11-17,30.200001,30.75,28.610001,29.49,29.49,750000
2010-11-18,30.67,30.74,28.92,29.889999,29.889999,956100
2010-11-19,30.16,31.370001,29.700001,30.99,30.99,1150500
2010-11-22,31.57,33.450001,31.5,33.400002,33.400002,1529700
2010-11-23,33.290001,35.68,32.189999,34.57,34.57,1577800
2010-11-24,35.27,35.970001,34.330002,35.470001,35.470001,1425000
2010-11-26,35.599998,36,34.75,35.32,35.32,350600
2010-11-29,35.41,35.950001,33.330002,34.330002,34.330002,1145600
2010-11-30,33.740002,35.330002,33.41,35.330002,35.330002,2222600
2010-12-01,35.869999,36.419998,33.450001,34.349998,34.349998,1299200
2010-12-02,34.009998,34.299999,31.200001,32.349998,32.349998,2007000
2010-12-03,32.009998,32.25,30.870001,31.49,31.49,1160100
2010-12-06,31.35,31.450001,29.559999,30.309999,30.309999,1274400
2010-12-07,30.49,32.400002,30.049999,31.559999,31.559999,1311300
2010-12-08,32.48,32.490002,31.52,32.369999,32.369999,660000
2010-12-09,32.509998,32.720001,31.65,32.049999,32.049999,406000
2010-12-10,32.049999,32.919998,31.129999,31.52,31.52,429400
2010-12-13,31.639999,31.77,30.4,30.549999,30.549999,410400
2010-12-14,30.290001,30.389999,27.76,28.530001,28.530001,1765700
2010-12-15,28.67,29.969999,28.530001,29.6,29.6,742900
2010-12-16,30,30.91,29.65,30.809999,30.809999,790100
2010-12-17,31.34,31.540001,30.709999,31.360001,31.360001,813000
2010-12-20,31.639999,32.189999,31.26,31.700001,31.700001,523400
2010-12-21,31.799999,32.689999,31.709999,32.259998,32.259998,777700
2010-12-22,32.25,32.860001,31.700001,32.630001,32.630001,833300
2010-12-23,31.26,32.48,29.92,30.09,30.09,1552600
2010-12-27,28.02,28.58,25.059999,25.549999,25.549999,9301900
2010-12-28,25.85,26.75,25,26.41,26.41,4056300
2010-12-29,27.030001,28.01,26.5,27.73,27.73,3319200
2010-12-30,27.700001,27.9,26.379999,26.5,26.5,2041100
2010-12-31,26.57,27.25,26.5,26.629999,26.629999,1417900
2011-01-03,26.84,27,25.9,26.620001,26.620001,1283000
2011-01-04,26.66,26.950001,26.02,26.67,26.67,1187400
